"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Nov 28 10:14:21 CST 2022","Mon Nov 28 10:14:21 CST 2022","0","testcase","test_image","","","","test_a",""
"passed","Mon Nov 28 10:14:21 CST 2022","Mon Nov 28 10:14:21 CST 2022","0","testcase","test_scope","TestClassScope","","","test_1",""
"skipped","Mon Nov 28 10:14:21 CST 2022","Mon Nov 28 10:14:21 CST 2022","0","testcase","test_1","","","","test_func2",""
"passed","Mon Nov 28 10:14:21 CST 2022","Mon Nov 28 10:14:21 CST 2022","0","testcase","test_1","","","","test_func1",""
"broken","Mon Nov 28 10:14:21 CST 2022","Mon Nov 28 10:14:21 CST 2022","0","testcase","test_image","","","","test_b",""
"passed","Mon Nov 28 10:14:21 CST 2022","Mon Nov 28 10:14:21 CST 2022","0","testcase","test_db","","","","test_search",""
"passed","Mon Nov 28 10:14:21 CST 2022","Mon Nov 28 10:14:21 CST 2022","0","testcase","test_scope","TestClassScope","","","test_2",""
"failed","Thu Nov 24 14:46:56 CST 2022","Thu Nov 24 14:46:56 CST 2022","0","testcase","test_image","TestImage","","","test_a",""
"passed","Thu Nov 24 14:47:00 CST 2022","Thu Nov 24 14:47:03 CST 2022","3004","testcase","test_image","TestImage","","","test_b",""
"broken","Mon Nov 28 10:14:21 CST 2022","Mon Nov 28 10:14:21 CST 2022","0","testcase","test_1","","","","test_api",""
"passed","Mon Nov 28 10:14:21 CST 2022","Mon Nov 28 10:14:21 CST 2022","0","testcase","test_raises","","","","test_raises",""
"passed","Mon Nov 28 10:14:21 CST 2022","Mon Nov 28 10:14:21 CST 2022","0","testcase","test_scope","","","","test_multi_scope",""
"passed","Thu Nov 24 13:10:40 CST 2022","Thu Nov 24 13:10:46 CST 2022","6675","testcase","test_image","","","","test_image1",""
"passed","Thu Nov 24 14:46:47 CST 2022","Thu Nov 24 14:46:56 CST 2022","8826","testcase","test_image","","","","test_image",""
